Compound_Name,T_K,Dexp×10-9/m2·s-1,ln(Dexp×10-9/m2·s-1),SMILES_PubChem,ref,can_SMILES,can_SMILES_T_K
dibromomethane,299.6896072,1.521940142,0.4199859304671977,C(Br)Br,acs.iecr.2c03342,BrCBr,BrCBr@299.6896072
bromoform,296.1000375,0.766346648,-0.266120669,C(Br)(Br)Br,acs.iecr.2c03342,BrC(Br)Br,BrC(Br)Br@296.1000375
bromoform,299.3457624,0.78639469,-0.240296462,C(Br)(Br)Br,acs.iecr.2c03342,BrC(Br)Br,BrC(Br)Br@299.3457624
iodomethane,296.4242401,3.458882371,1.2409455226377697,CI,acs.iecr.2c03342,CI,CI@296.4242401
iodomethane,297.8557138,3.460784142,1.241495194055951,CI,acs.iecr.2c03342,CI,CI@297.8557138
iodomethane,297.8569179,3.395138793,1.2223446418465231,CI,acs.iecr.2c03342,CI,CI@297.8569179
iodomethane,297.9457046,3.605697884,1.2825153397567408,CI,acs.iecr.2c03342,CI,CI@297.9457046
iodomethane,298.16,3.5,1.252762968495368,CI,acs.iecr.2c03342,CI,CI@298.16
iodomethane,299.0937186,3.485474806,1.2486042777310922,CI,acs.iecr.2c03342,CI,CI@299.0937186
diiodomethane,295.0412004,0.516656409,-0.660377212,C(I)I,acs.iecr.2c03342,ICI,ICI@295.0412004
diiodomethane,297.0680445,0.53167338,-0.631725925,C(I)I,acs.iecr.2c03342,ICI,ICI@297.0680445
diiodomethane,299.978573,0.563549041,-0.573500921,C(I)I,acs.iecr.2c03342,ICI,ICI@299.978573
"1,2-dichloroethane",298.16,1.86,0.620576488,C(CCl)Cl,acs.iecr.2c03342,ClCCCl,ClCCCl@298.16
bromoethane,295.66,3.8,1.335001067,CCBr,acs.iecr.2c03342,CCBr,CCBr@295.66
"1,8-dibromooctane",295.16,0.207951212,-1.570451783,C(CCCCBr)CCCBr,acs.iecr.2c03342,BrCCCCCCCCBr,BrCCCCCCCCBr@295.16
tert-butyl iodide,296.1190681,0.937189978,-0.064869266,CC(C)(C)I,acs.iecr.2c03342,CC(C)(C)I,CC(C)(C)I@296.1190681
