molecule,box,D_m2_s,window_ps
675,35,2.0736397164064928e-12,449.5
676,35,4.081837130167578e-12,799.5
677,35,1.6949219812130066e-12,1649.5
679,35,9.18962352270672e-13,799.5
681,35,6.416909779613107e-13,999.5
683,35,1.4751040112716353e-12,1874.5
685,35,5.965728568553514e-13,1199.5
686,35,6.55646302321052e-13,1724.5
687,35,1.996548622627848e-12,1474.5
689,35,6.230912464830801e-13,549.5
690,35,1.0401878305307392e-12,249.5
692,35,3.2616545464668217e-12,599.5
694,35,1.4644570178279785e-12,1099.5
695,35,1.5033598589882843e-11,1449.5
696,35,1.616081182840923e-12,1949.5
697,35,2.078901275038632e-12,524.5
699,35,6.962667895184476e-13,324.5
700,35,5.533084748684727e-12,1849.5
701,35,1.798469480224743e-12,199.5
702,35,2.086376604727958e-12,299.5
703,35,3.0019583111615108e-12,1949.5
705,35,1.1083218131705318e-12,1624.5
706,35,3.791856094565641e-12,1949.5
707,35,2.4765432697539024e-12,949.5
708,35,5.89670233709547e-11,1874.5
710,35,2.163521819656029e-12,1399.5
712,35,5.7267631578642e-12,924.5
713,35,1.5006304704633198e-12,649.5
715,35,6.117488399507282e-13,1099.5
717,35,1.2061154857143716e-12,1174.5
719,35,1.7669853674995317e-11,1274.5
721,35,2.140410355660093e-12,1949.5
722,35,6.267186881519884e-13,274.5
723,35,1.2815047711163273e-12,799.5
724,35,2.7386758934839403e-12,1199.5
725,35,2.1061849226841098e-12,374.5
727,35,2.0638277152270234e-12,1199.5
728,35,1.9420581491705128e-12,1624.5
729,35,1.2641218147098109e-12,399.5
730,35,2.8388055497297397e-12,1949.5
732,35,8.310386874673876e-13,1024.5
733,35,2.473384876806073e-12,899.5
737,35,2.0954292715713227e-12,1924.5
739,35,9.315488806782308e-13,699.5
740,35,2.8836971491294036e-12,1049.5
741,35,2.5185813739392232e-12,624.5
744,35,6.66247544355127e-13,324.5
745,35,1.9987818152962884e-12,1124.5
746,35,3.52362857721378e-10,1949.5
749,35,5.354340220713873e-12,649.5
750,35,1.9789997643105184e-12,1724.5
751,35,7.884364207924929e-13,1149.5
752,35,1.7551089198740524e-12,1099.5
753,35,3.1463492015481753e-12,1824.5
754,35,4.3799168826760457e-13,774.5
756,35,8.305849070746979e-13,449.5
757,35,5.3767069906874665e-12,1049.5
758,35,4.577187381820952e-12,1499.5
759,35,4.724557393402211e-13,999.5
760,35,2.670268677727471e-12,1474.5
761,35,5.807996306677453e-12,1624.5
762,35,1.806606554390516e-12,1249.5
763,35,2.9842922989859764e-12,1399.5
764,35,1.4876772772389277e-12,999.5
765,35,4.753454558198204e-12,699.5
766,35,8.408616097279249e-13,1274.5
767,35,2.3838513022241245e-11,1949.5
768,35,2.2558907914622667e-12,1549.5
769,35,1.39374106278181e-12,999.5
771,35,2.5114914440462535e-12,674.5
772,35,1.566188623902228e-12,1124.5
